idx,column,group,n_unique_in_sample,in_test,example_value
25,has_battery_backup_system,boolean_text_flag,2,True,"না, এই স্টেশনটিতে রাত্রে বা মেঘলা দিনে পাম্প চালানোর জন্য কোনো ব্যাটারি ব্যাকআপ ..."
26,is_salinity_sensor_inactive,boolean_text_flag,2,True,"হ্যাঁ, পানির লবণাক্ততা মাপার জন্য এই স্টেশনটিতে একটি অত্যন্ত সংবেদনশীল এবং সক্রি..."
27,is_salinity_sensor_active,boolean_text_flag,2,True,"না, পানির লবণাক্ততা মাপার জন্য এই স্টেশনটিতে কোনো সক্রিয় সেন্সর নেই বা সেন্সরটি..."
28,lacks_short_term_maintenance_contract,boolean_text_flag,2,True,"হ্যাঁ, এই স্টেশনটির রক্ষণাবেক্ষণের জন্য একটি বৈধ এবং সক্রিয় স্বল্পমেয়াদী (Shor..."
29,lacks_emergency_short_term_fund,boolean_text_flag,2,True,"হ্যাঁ, জরুরি মেরামতের জন্য এই স্টেশনটির কাছে একটি নির্দিষ্ট স্বল্পমেয়াদী তহবিল ..."
30,has_emergency_short_term_fund,boolean_text_flag,2,True,"না, জরুরি মেরামতের জন্য এই স্টেশনটির কাছে কোনো নির্দিষ্ট স্বল্পমেয়াদী তহবিল বা ..."
31,lacks_long_term_govt_subsidy,boolean_text_flag,2,True,"হ্যাঁ, এই সোলার পাম্পটি সরকারি বা বেসরকারি দীর্ঘমেয়াদী ভর্তুকি (Subsidy) এবং আর..."
32,has_long_term_govt_subsidy,boolean_text_flag,2,True,"না, এই সোলার পাম্পটি কোনো ধরনের সরকারি বা বেসরকারি দীর্ঘমেয়াদী ভর্তুকি বা আর্থি..."
33,has_active_maintenance_schedule,boolean_text_flag,2,True,"না, এই স্টেশনটির জন্য কোনো পূর্বনির্ধারিত বা সক্রিয় রক্ষণাবেক্ষণের সময়সূচী (Ma..."
34,is_submersible_pump_non_operational,boolean_text_flag,2,True,"হ্যাঁ, এই স্টেশনটির সাবমারসিবল পাম্প মোটরটি বর্তমানে সম্পূর্ণ সচল এবং নির্বিঘ্নে..."
35,is_submersible_pump_operational,boolean_text_flag,2,True,"না, এই স্টেশনটির সাবমারসিবল পাম্প মোটরটি বর্তমানে অচল, নষ্ট অথবা মেরামতের প্রয়ো..."
36,lacks_solar_panel_cleaning_schedule,boolean_text_flag,2,True,"হ্যাঁ, সোলার প্যানেলের দক্ষতা বজায় রাখতে নিয়মিত পরিষ্কার করার একটি কঠোর এবং পূ..."
37,has_solar_panel_cleaning_schedule,boolean_text_flag,2,True,"না, সোলার প্যানেলের দক্ষতা বজায় রাখতে নিয়মিত পরিষ্কার করার কোনো পূর্বনির্ধারিত..."
38,is_water_source_arsenic_safe,boolean_text_flag,2,True,"না, এই স্টেশনটির পানির উৎসটি আর্সেনিক দূষণমুক্ত নয় এবং পানি পরীক্ষায় ক্ষতিকারক..."
39,lacks_remote_monitoring_system,boolean_text_flag,2,True,"হ্যাঁ, এই স্টেশনটিতে স্মার্ট ফোন বা কম্পিউটারের মাধ্যমে দূরবর্তীভাবে পর্যবেক্ষণ ..."
40,has_remote_monitoring_system,boolean_text_flag,1,True,"না, এই স্টেশনটিতে দূরবর্তীভাবে পর্যবেক্ষণ করার (Remote Monitoring) কোনো স্মার্ট ..."
41,is_groundwater_level_fluctuating,boolean_text_flag,2,True,"হ্যাঁ, এই অঞ্চলের ভূগর্ভস্থ পানির স্তর অত্যন্ত স্থিতিশীল এবং শুষ্ক মৌসুমেও পানি ..."
42,is_groundwater_level_stable,boolean_text_flag,2,True,"না, এই অঞ্চলের ভূগর্ভস্থ পানির স্তর অত্যন্ত অস্থিতিশীল এবং শুষ্ক মৌসুমে পাম্প ড্..."
43,has_constant_manual_pump_backup,boolean_text_flag,2,True,"না, এই স্টেশনটিতে বিকল্প হিসেবে কোনো স্থায়ী বা ধ্রুবক ম্যানুয়াল হ্যান্ড পাম্পে..."
44,is_community_untrained_for_maintenance,boolean_text_flag,2,True,"হ্যাঁ, স্থানীয় কমিউনিটি বা গ্রামবাসীদের এই সোলার পাম্পের প্রাথমিক রক্ষণাবেক্ষণ ..."
45,has_constant_technician_availability,boolean_text_flag,2,True,"না, এই অঞ্চলে সবসময় বা ধ্রুবকভাবে (Constantly) কোনো দক্ষ সোলার টেকনিশিয়ান বা ম..."
46,is_community_trained_for_maintenance,boolean_text_flag,2,True,"না, স্থানীয় কমিউনিটি বা গ্রামবাসীদের এই সোলার পাম্পের প্রাথমিক রক্ষণাবেক্ষণের ক..."
47,lacks_alternative_water_source,boolean_text_flag,2,True,"হ্যাঁ, সোলার পাম্প বিকল হওয়ার ক্ষেত্রে এই এলাকার মানুষের জন্য একটি বিকল্প নিরাপ..."
48,has_alternative_water_source,boolean_text_flag,2,True,"না, সোলার পাম্প বিকল হওয়ার ক্ষেত্রে এই এলাকার মানুষের জন্য কোনো বিকল্প নিরাপদ প..."
49,is_pump_motor_cool,boolean_text_flag,2,True,"না, এই স্টেশনটির পাম্প মোটরটি স্বাভাবিক তাপমাত্রায় চলছে এবং কোনো ওভারহিটিং সমস্..."
50,is_pump_motor_overheating,boolean_text_flag,2,True,"হ্যাঁ, এই স্টেশনটির পাম্প মোটরটি অতিরিক্ত গরম হয়ে যাচ্ছে এবং এতে ওভারহিটিং বা ত..."
51,lacks_auto_voltage_regulator,boolean_text_flag,2,True,"হ্যাঁ, ভোল্টেজ ওঠানামা থেকে সিস্টেমকে রক্ষা করার জন্য এই স্টেশনটিতে একটি অটোমেটি..."
52,has_auto_voltage_regulator,boolean_text_flag,2,True,"না, ভোল্টেজ ওঠানামা থেকে সিস্টেমকে রক্ষা করার জন্য এই স্টেশনটিতে কোনো অটোমেটিক ভ..."
53,has_constant_pipe_corrosion_issue,boolean_text_flag,2,True,"না, লবণাক্ততার কারণে এই স্টেশনটির পাইপলাইনে কোনো ধরনের স্থায়ী বা নিরবচ্ছিন্ন ক্..."
54,is_pipe_free_from_salt_corrosion,boolean_text_flag,2,True,"হ্যাঁ, লবণাক্ততার কারণে এই স্টেশনটির পাইপলাইন মারাত্মকভাবে ক্ষয়গ্রস্ত হয়েছে এব..."
55,is_pipe_corroded_by_salt,boolean_text_flag,2,True,"না, লবণাক্ততার কারণে এই স্টেশনটির পাইপলাইন ক্ষয়গ্রস্ত নয় এবং এটি সম্পূর্ণ নিরা..."
56,has_no_flood_submersion_history,boolean_text_flag,1,True,"হ্যাঁ, অতীতে জলোচ্ছ্বাস বা ভয়াবহ বন্যার পানিতে এই সোলার পাম্পিং স্টেশনটি সম্পূর..."
57,has_flood_submersion_history,boolean_text_flag,1,True,"না, অতীতে জলোচ্ছ্বাস বা ভয়াবহ বন্যার পানিতে এই সোলার পাম্পিং স্টেশনটি কখনো ডুবে..."
58,is_inverter_fan_functional,boolean_text_flag,1,True,"না, ইনভার্টারের ভেতরের কুলিং ফ্যানটি অচল বা নষ্ট হয়ে গেছে, যার ফলে ইনভার্টর অতি..."
59,has_constant_charge_controller_issue,boolean_text_flag,2,True,"না, এই স্টেশনটির সোলার চার্জ কন্ট্রোলারে কোনো ধরনের স্থায়ী বা নিরবচ্ছিন্ন ত্রুট..."
60,lacks_solar_charge_controller,boolean_text_flag,2,True,"হ্যাঁ, ব্যাটারিকে সঠিকভাবে চার্জ দেওয়ার জন্য এই স্টেশনটিতে একটি উন্নত মানের সোল..."
61,has_solar_charge_controller,boolean_text_flag,2,True,"না, ব্যাটারিকে সঠিকভাবে চার্জ দেওয়ার জন্য এই স্টেশনটিতে কোনো উন্নত মানের সোলার ..."
62,are_battery_terminals_safe,boolean_text_flag,2,True,"না, ব্যাটারির টার্মিনাল বা সংযোগস্থলগুলো সম্পূর্ণ নিরাপদ এবং লবণাক্ত বাতাসের কার..."
63,are_solar_panels_clean,boolean_text_flag,2,True,"হ্যাঁ, সোলার প্যানেলের ওপর প্রচুর পরিমাণে ধুলোবালি এবং পাখির বিষ্ঠা জমে রয়েছে য..."
64,has_dust_accumulation_on_panels,boolean_text_flag,2,True,"না, সোলার প্যানেলের ওপর কোনো ধুলোবালি বা ময়লা জমে নেই এবং প্যানেলগুলো সম্পূর্ণ ..."
65,is_pump_not_drawing_dry,boolean_text_flag,2,True,"না, পাম্পটি পর্যাপ্ত পানি পাচ্ছে এবং এটি ড্রাই রান (Dry Run) করছে না, মোটর নিরাপ..."
66,is_pump_draw_dry,boolean_text_flag,2,True,"না, পাম্পটি পর্যাপ্ত পানি পাচ্ছে এবং এটি ড্রাই রান (Dry Run) করছে না, মোটর নিরাপ..."
67,is_local_technician_unavailable,boolean_text_flag,2,True,"হ্যাঁ, জরুরি প্রয়োজনে এই উপকূলীয় এলাকায় দ্রুত কোনো দক্ষ সোলার টেকনিশিয়ান বা ..."
68,is_local_technician_available,boolean_text_flag,2,True,"না, জরুরি প্রয়োজনে এই উপকূলীয় এলাকায় দ্রুত একজন দক্ষ সোলার টেকনিশিয়ান বা মের..."
69,num_var1_0,obfuscated_numeric,2,True,0
70,count_active_solar_panels,operational_count,2,True,0.0
71,count_battery_banks_installed,operational_count,6,True,7.142857142857142
72,num_var5_0,obfuscated_numeric,3,True,3
73,count_water_tanks_connected,operational_count,2,True,10.0
74,num_var6_0,obfuscated_numeric,1,True,0
75,num_var8_0,obfuscated_numeric,2,True,0
76,count_sensors_deployed,operational_count,2,True,0.0
77,num_var12_0,obfuscated_numeric,2,True,0
78,count_maintenance_visits_total,operational_count,2,True,0.0
79,num_var13_0,obfuscated_numeric,2,True,0
80,num_var13_corto_0,obfuscated_numeric,2,True,0
81,count_minor_repairs_total,operational_count,2,True,0.0
82,num_var13_largo_0,obfuscated_numeric,2,True,0
83,count_major_repairs_total,operational_count,2,True,0.0
84,has_no_medium_term_fund_balance,boolean_text_flag,1,True,"হ্যাঁ, এই স্টেশনটির রক্ষণাবেক্ষণের জন্য একটি সক্রিয় মাধ্যমিক মেয়াদী (Medium-te..."
85,count_pump_repairs_total,operational_count,2,True,0.0
86,num_var14_0,obfuscated_numeric,2,True,0
87,count_inverter_replacements,operational_count,2,True,0.0
88,num_var17_0,obfuscated_numeric,2,True,0
89,count_fuse_replacements,operational_count,2,True,0.0
90,num_var20_0,obfuscated_numeric,2,True,0
91,count_remote_alerts_triggered,operational_count,1,True,0.0
92,num_var24_0,obfuscated_numeric,2,True,0
93,count_dry_run_events,operational_count,2,True,0.0
94,num_var26_0,obfuscated_numeric,3,True,0
95,count_voltage_surge_events,operational_count,3,True,0.0
96,num_var25_0,obfuscated_numeric,3,True,0
97,count_overheating_events,operational_count,3,True,0.0
98,num_op_var40_hace2,obfuscated_numeric,2,True,0
99,num_op_var40_ult1,obfuscated_numeric,2,True,0
100,num_op_var40_ult3,obfuscated_numeric,2,True,0
101,num_op_var41_hace2,obfuscated_numeric,10,True,0
102,num_op_var41_hace3,obfuscated_numeric,3,True,0
103,num_op_var41_ult1,obfuscated_numeric,14,True,0
104,num_op_var41_ult3,obfuscated_numeric,17,True,0
105,num_op_var39_hace2,obfuscated_numeric,10,True,0
106,num_op_var39_hace3,obfuscated_numeric,3,True,0
107,num_op_var39_ult1,obfuscated_numeric,14,True,0
108,num_op_var39_ult3,obfuscated_numeric,17,True,0
109,num_var30_0,obfuscated_numeric,4,True,3
110,count_water_level_readings,operational_count,4,True,4.545454545454546
111,num_var31_0,obfuscated_numeric,3,True,0
112,count_salinity_tests,operational_count,3,True,0.0
113,num_var32_0,obfuscated_numeric,2,True,0
114,count_arsenic_tests,operational_count,2,True,0.0
115,num_var33_0,obfuscated_numeric,1,True,0
116,count_vibration_anomalies,operational_count,1,True,0.0
117,count_grid_failures,operational_count,7,True,4.166666666666666
118,num_var37_med_ult2,obfuscated_numeric,4,True,0
119,num_var37_0,obfuscated_numeric,5,True,0
120,count_inverter_shutdowns,operational_count,5,True,0.0
121,num_var39_0,obfuscated_numeric,3,True,3
122,num_var40_0,obfuscated_numeric,2,True,0
123,count_pump_motor_faults,operational_count,2,True,0.0
124,num_var41_0,obfuscated_numeric,3,True,3
125,count_battery_failures,operational_count,2,True,0.0
126,num_var42_0,obfuscated_numeric,3,True,3
127,count_solar_panel_cleanings,operational_count,3,True,8.333333333333332
128,num_var44_0,obfuscated_numeric,2,True,0
129,count_technician_visits,operational_count,2,True,0.0
130,sensor_current_grid_power_status,sensor_reading,2,True,0.0
131,sensor_current_water_tank_storage_liters,sensor_reading,79,True,0.4658637318691552
132,sensor_ambient_temperature_celsius,sensor_reading,9,True,0.0
133,sensor_daily_water_demand_liters,sensor_reading,17,True,0.0
134,sensor_short_term_pump_runtime_hours,sensor_reading,15,True,0.0
135,sensor_long_term_pump_runtime_hours,sensor_reading,5,True,0.0
136,sensor_average_daily_pump_runtime_hours,sensor_reading,17,True,0.0
137,sensor_panel_surface_dust_index,sensor_reading,3,True,0.0
138,sensor_coastal_humidity_percentage,sensor_reading,2,True,0.0
139,sensor_battery_charge_percentage,sensor_reading,1,True,0.0
140,sensor_wind_speed_kmh,sensor_reading,15,True,0.0
141,sensor_water_salinity_ppm,sensor_reading,6,True,0.0
142,sensor_rainfall_mm,sensor_reading,5,True,0.0
143,has_zero_water_tank_balance,boolean_text_flag,1,True,"না, এই স্টেশনটির পানির ট্যাংকে পর্যাপ্ত পানি মজুদ রয়েছে এবং ওয়াটার ব্যালেন্স এ..."
144,sensor_groundwater_arsenic_level,sensor_reading,1,True,0.0
145,sensor_current_groundwater_level_meters,sensor_reading,109,True,0.142801964752391
146,sensor_panel_surface_temperature_celsius,sensor_reading,3,True,0.0
147,sensor_inverter_temperature_celsius,sensor_reading,2,True,0.0
148,sensor_motor_vibration_level_mm_s,sensor_reading,1,True,0.0
149,sensor_dust_accumulation_index,sensor_reading,1,True,0
150,sensor_grid_voltage_fluctuation_index,sensor_reading,21,True,0.0
151,sensor_pump_flow_rate_lph,sensor_reading,2,True,0.0
152,has_zero_solar_efficiency_balance,boolean_text_flag,1,True,"না, সোলার প্যানেলের বিদ্যুৎ উৎপাদন দক্ষতা বা ইফিসিয়েন্সি ব্যালেন্স শূন্য নয়, এ..."
153,sensor_current_battery_voltage_volts,sensor_reading,99,True,0.1641297000798116
154,sensor_solar_irradiance_wm2,sensor_reading,2,True,0.0
155,has_zero_grid_power_balance,boolean_text_flag,1,True,"না, জাতীয় বিদ্যুৎ গ্রিড থেকে এই স্টেশনটিতে বিদ্যুৎ সরবরাহের ব্যালেন্স বা হিসাব ..."
156,base_solar_panel_tilt_angle_degrees,base_attribute,5,True,3.0303030303030303
157,trend_depreciation_rate_1y3,trend_pct,1,True,-50.0
158,trend_community_fund_growth_1y3,trend_pct,2,True,-49.99999999
159,trend_govt_fund_growth_1y3,trend_pct,2,True,-49.99999999
160,trend_ngo_fund_growth_1y3,trend_pct,1,True,-49.99999999
161,trend_replacement_cost_increase_1y3,trend_pct,1,True,-49.99999999
162,trend_maintenance_cost_increase_1y3,trend_pct,1,True,-50.0
163,trend_repair_cost_increase_1y3,trend_pct,1,True,-49.99999999
164,has_no_reimbursement_delta,boolean_text_flag,1,True,"হ্যাঁ, গত ৩ বছরে এই স্টেশনটির যন্ত্রাংশ মেরামত বা রিম্বার্সমেন্টের খরচে কোনো উল্..."
165,trend_incoming_fund_increase_1y3,trend_pct,1,True,-49.99999999
166,trend_outgoing_expense_increase_1y3,trend_pct,1,True,-50.0
167,trend_internal_transfer_in_1y3,trend_pct,1,True,-49.99999999
168,trend_internal_transfer_out_1y3,trend_pct,1,True,-50.0
169,trend_scrap_value_change_1y3,trend_pct,1,True,-49.99999999
170,trend_community_contribution_count_1y3,trend_pct,2,True,-49.99999999
171,trend_govt_grant_count_1y3,trend_pct,2,True,-49.99999999
172,trend_ngo_funding_count_1y3,trend_pct,1,True,-49.99999999
173,trend_panel_replacement_count_1y3,trend_pct,1,True,-49.99999999
174,trend_maintenance_claim_count_1y3,trend_pct,1,True,-50.0
175,trend_repair_claim_count_1y3,trend_pct,1,True,-49.99999999
176,trend_expense_transaction_count_1y3,trend_pct,1,True,-50.0
177,trend_internal_in_count_1y3,trend_pct,1,True,-49.99999999
178,trend_scrap_sale_count_1y3,trend_pct,1,True,-49.99999999
179,cost_depreciation_value_bdt,financial,1,True,0.0
180,cost_community_contribution_3m_bdt,financial,8,True,0.0
181,cost_community_contribution_bdt,financial,1,True,0.0
182,cost_govt_grant_3m_bdt,financial,1,True,0.0
183,cost_govt_grant_bdt,financial,2,True,0.0
184,cost_ngo_funding_3m_bdt,financial,1,True,0.0
185,cost_energy_sold_to_grid_bdt,financial,2,True,0.0
186,cost_panel_replacement_3m_bdt,financial,1,True,0.0
187,cost_panel_replacement_bdt,financial,1,True,0.0
188,cost_reimbursement_maintenance_bdt,financial,1,True,0.0
189,cost_reimbursement_repair_bdt,financial,1,True,0.0
190,cost_insurance_premium_bdt,financial,14,True,0.0
191,cost_grid_connection_fee_bdt,financial,28,True,0.0
192,cost_fund_transfer_in_bdt,financial,1,True,0.0
193,cost_scrap_sale_bdt,financial,1,True,0.0
194,has_no_recent_power_receipt,boolean_text_flag,2,True,"হ্যাঁ, সাম্প্রতিক সময়ে (গত ১ দিনে) এই স্টেশনটিতে গ্রিড বা সোলার থেকে কোনো বিদ্য..."
195,has_no_recent_maintenance_log,boolean_text_flag,2,True,"হ্যাঁ, সাম্প্রতিক সময়ে (গত ১ দিনে) এই স্টেশনটির কোনো ধরনের রক্ষণাবেক্ষণ বা মেরা..."
196,has_constant_maintenance_log,boolean_text_flag,2,True,"না, সাম্প্রতিক সময়ে এই স্টেশনটির রক্ষণাবেক্ষণের লগ নিয়মিত বা ধ্রুবকভাবে (Const..."
197,has_constant_power_failure_log,boolean_text_flag,2,True,"না, সাম্প্রতিক সময়ে এই স্টেশনটির পাওয়ার ফেইলিউরের লগ নিয়মিত বা ধ্রুবকভাবে রেক..."
198,has_no_recent_power_failure_log,boolean_text_flag,2,True,"হ্যাঁ, সাম্প্রতিক সময়ে (গত ১ দিনে) এই স্টেশনটিতে কোনো ধরনের পাওয়ার ফেইলিউরের ল..."
199,has_no_recent_alert_emission,boolean_text_flag,2,True,"হ্যাঁ, সাম্প্রতিক সময়ে (গত ১ দিনে) এই স্টেশনটি থেকে কোনো ধরনের সতর্কতা বা অ্যাল..."
200,has_no_recent_alert_received,boolean_text_flag,2,True,"হ্যাঁ, সাম্প্রতিক সময়ে (গত ১ দিনে) এই স্টেশনটির মনিটরিং সিস্টেমে কোনো সতর্কতা ব..."
201,base_pump_motor_depth_meters,base_attribute,2,True,0.0
202,num_aport_var13_hace3,obfuscated_numeric,2,True,0
203,num_aport_var13_ult1,obfuscated_numeric,1,True,0
204,num_aport_var17_hace3,obfuscated_numeric,1,True,0
205,num_aport_var17_ult1,obfuscated_numeric,2,True,0
206,num_aport_var33_hace3,obfuscated_numeric,1,True,0
207,num_var7_recib_ult1,obfuscated_numeric,2,True,0
208,num_compra_var44_hace3,obfuscated_numeric,1,True,0
209,num_compra_var44_ult1,obfuscated_numeric,1,True,0
210,num_ent_var16_ult1,obfuscated_numeric,5,True,0
211,count_cycles_2_months_ago,operational_count,8,True,0.0
212,count_cycles_3_months_ago,operational_count,9,True,0.0
213,count_cycles_last_month,operational_count,7,True,0.0
214,count_cycles_last_3_months,operational_count,13,True,0.0
215,num_med_var22_ult3,obfuscated_numeric,6,True,0
216,num_med_var45_ult3,obfuscated_numeric,18,True,0
217,count_months_since_tank_cleaning,operational_count,4,True,50.0
218,count_months_since_temp_sensor_calib,operational_count,4,True,0.0
219,count_months_since_last_maintenance,operational_count,4,True,0.0
220,count_months_since_minor_repair,operational_count,3,True,0.0
221,count_months_since_major_repair,operational_count,3,True,0.0
222,count_months_since_humidity_calib,operational_count,2,True,0.0
223,count_months_since_arsenic_test,operational_count,1,True,0.0
224,count_months_since_vibration_check,operational_count,1,True,0.0
225,count_months_battery_warranty_valid,operational_count,4,True,33.33333333333333
226,count_months_since_panel_cleaning,operational_count,2,True,0.0
227,num_op_var39_comer_ult1,obfuscated_numeric,14,True,0
228,num_op_var39_comer_ult3,obfuscated_numeric,16,True,0
229,num_op_var40_comer_ult1,obfuscated_numeric,3,True,0
230,num_op_var40_comer_ult3,obfuscated_numeric,3,True,0
231,num_op_var40_efect_ult1,obfuscated_numeric,1,True,0
232,num_op_var40_efect_ult3,obfuscated_numeric,1,True,0
233,num_op_var41_comer_ult1,obfuscated_numeric,14,True,0
234,num_op_var41_comer_ult3,obfuscated_numeric,16,True,0
235,num_op_var41_efect_ult1,obfuscated_numeric,7,True,0
236,num_op_var41_efect_ult3,obfuscated_numeric,10,True,0
237,num_op_var39_efect_ult1,obfuscated_numeric,7,True,0
238,num_op_var39_efect_ult3,obfuscated_numeric,10,True,0
239,num_reemb_var13_ult1,obfuscated_numeric,1,True,0
240,num_reemb_var17_ult1,obfuscated_numeric,1,True,0
241,num_sal_var16_ult1,obfuscated_numeric,2,True,0
242,num_var43_emit_ult1,obfuscated_numeric,5,True,0
243,num_var43_recib_ult1,obfuscated_numeric,10,True,0
244,num_trasp_var11_ult1,obfuscated_numeric,3,True,0
245,num_trasp_var33_in_ult1,obfuscated_numeric,1,True,0
246,num_venta_var44_hace3,obfuscated_numeric,1,True,0
247,num_venta_var44_ult1,obfuscated_numeric,1,True,0
248,num_var45_hace2,obfuscated_numeric,23,True,0
249,num_var45_hace3,obfuscated_numeric,18,True,0
250,num_var45_ult1,obfuscated_numeric,18,True,0
251,num_var45_ult3,obfuscated_numeric,35,True,0
252,sensor_avg_water_tank_2_months_ago,sensor_reading,100,True,0.016173280654507
253,sensor_avg_water_tank_3_months_ago,sensor_reading,133,True,0.0006788353907816
254,sensor_avg_water_tank_last_month,sensor_reading,92,True,0.1536280392537918
255,sensor_avg_water_tank_last_3_months,sensor_reading,154,True,0.0878952643927876
256,sensor_avg_temp_2_months_ago,sensor_reading,7,True,0.1241885780699212
257,sensor_avg_temp_3_months_ago,sensor_reading,3,True,0.0
258,sensor_avg_temp_last_month,sensor_reading,9,True,1.469685802128425
259,sensor_avg_temp_last_3_months,sensor_reading,9,True,1.0280085686329985
260,sensor_avg_demand_2_months_ago,sensor_reading,13,True,0.0
261,sensor_avg_demand_3_months_ago,sensor_reading,8,True,0.0
262,sensor_avg_demand_last_month,sensor_reading,17,True,0.0
263,sensor_avg_demand_last_3_months,sensor_reading,17,True,0.0
264,sensor_avg_short_runtime_2_months_ago,sensor_reading,15,True,0.0
265,sensor_avg_short_runtime_3_months_ago,sensor_reading,7,True,0.0
266,sensor_avg_short_runtime_last_month,sensor_reading,15,True,0.0
267,sensor_avg_short_runtime_last_3_months,sensor_reading,15,True,0.0
268,sensor_avg_long_runtime_2_months_ago,sensor_reading,4,True,0.0
269,sensor_avg_long_runtime_3_months_ago,sensor_reading,3,True,0.0
270,sensor_avg_long_runtime_last_month,sensor_reading,4,True,0.0
271,sensor_avg_long_runtime_last_3_months,sensor_reading,4,True,0.0
272,has_zero_medium_term_avg_balance,boolean_text_flag,1,True,"না, এই স্টেশনটির মাধ্যমিক মেয়াদী গড় আর্থিক ব্যালেন্স বা তহবিল শূন্য নয়, এখানে..."
273,sensor_avg_humidity_2_months_ago,sensor_reading,1,True,7.12574811982504e-07
274,sensor_avg_humidity_3_months_ago,sensor_reading,1,True,0.0
275,sensor_avg_humidity_last_month,sensor_reading,2,True,0.0
276,sensor_avg_humidity_last_3_months,sensor_reading,2,True,0.0
277,sensor_avg_vibration_2_months_ago,sensor_reading,1,True,0.0
278,sensor_avg_vibration_3_months_ago,sensor_reading,1,True,0.0
279,sensor_avg_vibration_last_month,sensor_reading,1,True,0.0
280,sensor_avg_vibration_last_3_months,sensor_reading,1,True,0.0
281,sensor_avg_irradiance_2_months_ago,sensor_reading,2,True,0.0
282,sensor_avg_irradiance_3_months_ago,sensor_reading,1,True,0.0
283,sensor_avg_irradiance_last_month,sensor_reading,2,True,0.0
284,sensor_avg_irradiance_last_3_months,sensor_reading,2,True,0.0
285,base_distance_from_coastal_river_km,base_attribute,250,True,0.3983894376544307
286,Your_Target_Column,target,2,False,0
